No.,Spec,feature,sub feature,sub feature,sub feature,test  describtion,,,,priority,level,coverage,testcase,,,,
,,,,,,"握手成功,L2 Cache发送的probe请求中data[2:0]为3’h2","ProbeQueue为该probe请求分配probeEntry,wbq产生正确的回复ProbeAck","io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,
auto_client_out_b_bits_data","io_probe_block=0,
auto_client_out_b_valid=1，
auto_client_out_b_ready=1,
auto_client_out_b_bits_data=2",,,tlcb_gp/tlcc_gp,tc_dcache_probe,,,,
,,,,,,"握手成功,L2 Cache发送的probe请求中data[2:0]为3’h3","ProbeQueue为该probe请求分配probeEntry,wbq产生正确的回复ProbeAckData","io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,
auto_client_out_b_bits_data","io_probe_block=0,
auto_client_out_b_valid=1，
auto_client_out_b_ready=1,
auto_client_out_b_bits_data=3",,,tlcb_gp/tlcc_gp,tc_dcache_probe,,,,
,,,,,,"握手成功,L2 Cache发送的probe请求中data[2:0]为3’h4","ProbeQueue为该probe请求分配probeEntry,wbq产生正确的回复ProbeAck","io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,
auto_client_out_b_bits_data","io_probe_block=0,
auto_client_out_b_valid=1，
auto_client_out_b_ready=1,
auto_client_out_b_bits_data=4",,,tlcb_gp/tlcc_gp,tc_dcache_probe,,,,
,,,,,,"握手成功,L2 Cache发送的probe请求中data[2:0]为3’h5","ProbeQueue为该probe请求分配probeEntry,wbq产生正确的回复ProbeAckData","io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,
auto_client_out_b_bits_data","io_probe_block=0,
auto_client_out_b_valid=1，
auto_client_out_b_ready=1,
auto_client_out_b_bits_data=5",,,tlcb_gp/tlcc_gp,tc_dcache_probe,,,,
,,,,,,"握手成功,L2 Cache发送的probe请求中data[2:0]为3’h6","ProbeQueue为该probe请求分配probeEntry,wbq产生正确的回复ProbeAck","io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,
auto_client_out_b_bits_data","io_probe_block=0,
auto_client_out_b_valid=1，
auto_client_out_b_ready=1,
auto_client_out_b_bits_data=6",,,tlcb_gp/tlcc_gp,tc_dcache_probe,,,,
,,,,,,"握手成功,L2 Cache发送的probe请求中data[2:0]为3’h7","ProbeQueue为该probe请求分配probeEntry,wbq产生正确的回复ProbeAckData","io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,
auto_client_out_b_bits_data","io_probe_block=0,
auto_client_out_b_valid=1，
auto_client_out_b_ready=1,
auto_client_out_b_bits_data=7",,,tlcb_gp/tlcc_gp,tc_dcache_probe,,,,
,,异常回复,,,,,,,,,,,tc_dcache_ld_st_pb,,,,
,,,,,,"握手成功,L2 Cache发送的probe在DCache中Miss",Dcache回复ProbeAck，并且回复的Param为NtoN,"io_probe_block,
auto_client_out_b_valid,
auto_client_out_b_ready,","io_probe_block,
auto_client_out_b_valid=1,
auto_client_out_b_ready=1,",,,,tc_dcache_ld_st_pb,,,,
5,Miss缓存处理  157,,,,,,,,,,,,,,,,
,,miss请求 11,,,,,,,,,,,tc_dcache_load,tc_dcache_store,,,
,,,握手valid/ready,,,,,,,,,,,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid,io_req_ready=1，io_req_valid=1,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求无效,MissQueue等待下一个请求,io_req_ready，io_req_valid,io_req_ready=1，io_req_valid=0,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue不可接受来自mianpipe的miss请求，且发来的miss请求有效,MissQueue暂时忽略当前请求，等允许时再处理当前请求,io_req_ready，io_req_valid,io_req_ready=0，io_req_valid=1,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue不可接受来自mianpipe的miss请求，且发来的miss请求无效,MissQueue继续先前的处理,io_req_ready，io_req_valid,io_req_ready=0，io_req_valid=0,,,,tc_dcache_load/tc_dcache_store,,,,
,,,物理地址,,,,,,,,,,,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效，miss请求物理地址范围内随机,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid，io_req_bits_addr，io_req_bits_vaddr，,io_req_ready=1，io_req_valid=1，io_req_bits_addr=rand,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效，miss请求物理地址范围内min,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid，io_req_bits_addr，io_req_bits_vaddr，,io_req_ready=1，io_req_valid=1，io_req_bits_paddr=min,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效，miss请求物理地址范围内max,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid，io_req_bits_addr，io_req_bits_vaddr，,io_req_ready=1，io_req_valid=1，io_req_bits_addr=max,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,虚地址,,,,,,,,,,,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效，miss请求虚地址(set部分)取min,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid，io_req_bits_addr，io_req_bits_vaddr，,io_req_ready=1，io_req_valid=1，io_req_bits_vaddr=min，,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效，miss请求虚地址(set部分)取max,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid，io_req_bits_addr，io_req_bits_vaddr，,io_req_ready=1，io_req_valid=1，io_req_bits_vaddr=max，,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,MissQueue可接受来自mianpipe的miss请求，且发来的miss请求有效，miss请求虚地址(set部分)取rand,MissQueue向总线发送请求，总线回复数据正确,io_req_ready，io_req_valid，io_req_bits_addr，io_req_bits_vaddr，,io_req_ready=1，io_req_valid=1，io_req_bits_vaddr=rand，,,,missq_gp,tc_dcache_load/tc_dcache_store,,,,
,,,Miss请求被wbq阻塞失效,,,,,,,,,,,,,,
,,,相同set的4路最多有3路存在BTOT的miss请求,,,,,,,,,,,,,,
,,,,,,MissQueue不可接收第4笔相同set的BTOT请求,MissQueue接收第4笔请求时应答处理失败,s2_grow_perm_fail,s2_grow_perm_fail=1,,,,tc_dcache_btot_number,,,,
,,,,,,MissQueue有空项，发来的miss请求有效，miss请求物理地址与wbq中某非空项的物理地址相同,Miss请求失效，MissQueue无法响应该请求,io_req_ready，io_req_valid，io_req_bits_addr，io_block_miss_req，io_block_addr_valid，io_block_addr_bits,io_req_ready=1，io_req_valid=1，io_req_bits_addr=io_block_addr_bits，io_block_miss_req=1，io_block_addr_valid=1,,,missq_gp,tc_dacche_miss_ld_reject_ld/tc_dacche_miss_ld_reject_st,,,,
,,从L2取回数据  80,,,,,,,,,,,几乎所有用例都覆盖,,,,
,,,acquire通道ready（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,Tilelink总线取回数据正确,auto_client_out_a_valid，auto_client_out_a_ready，,auto_client_out_a_valid=1，auto_client_out_a_ready=1，,,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线acquire通道不可接受请求,等待ready后，Tilelink总线取回数据正确,auto_client_out_a_valid，auto_client_out_a_ready，,auto_client_out_a_valid=1，auto_client_out_a_ready=0，,,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道valid（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线acquire通道请求有效,Tilelink总线取回数据正确,auto_client_out_a_valid，auto_client_out_a_ready，,auto_client_out_a_valid=1，auto_client_out_a_ready=1，,,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线acquire通道请求无效,等待valid后，Tilelink总线取回数据正确,auto_client_out_a_valid，auto_client_out_a_ready，,auto_client_out_a_valid=0，auto_client_out_a_ready=1，,,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道opcode（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_opcode=6(acquireBlock需要数据)",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_opcode,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_opcode=6",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_opcode=7(acquirePerm)",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_opcode,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_opcode=7",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道param（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_param=0(NtoB)",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_param,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_param=0",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_param=1(NtoT)",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_param,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_param=1",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_param=2(BtoT)",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_param,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_param=2",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道source（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=0",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=0",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=1",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=1",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=2",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=2",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=3",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=3",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=4",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=4",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=5",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=5",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=6",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=6",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=7",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=7",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=8",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=8",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=9",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=9",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=10",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=10",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=11",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=11",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=12",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=12",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=13",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=13",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=14",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=14",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_source=15",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_source,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_source=15",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道address（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_address tag部分为min",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_address[36:12],","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_address[36:12]=min",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_address tag部分为max",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_address[36:12],","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_address[36:12]=max",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_address tag部分为rand",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_address[36:12],","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_address[36:12]=rand",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_address pg_idx部分为min",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_address[11:6],","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_address[11:6]=min",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_address pg_idx部分为max",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_address[11:6],","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_address[11:6]=max",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_address pg_idx部分为rand",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_address[11:6],","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_address[11:6]=rand",,,,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道alias（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_alias=0",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_alias,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_alias=0",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_alias=1",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_alias,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_alias=1",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_alias=2",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_alias,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_alias=2",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_alias=3",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_alias,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_alias=3",,,tlca_gp,tc_dcache_load/tc_dcache_store,,,,
,,,acquire通道reqSource（Tilelink A通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_reqSource=2",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_reqSource,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_reqSource=2",,,tlca_gp,tc_dcache_load,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_reqSource=3",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_reqSource,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_reqSource=3",,,tlca_gp,tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_reqSource=4",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_reqSource,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_reqSource=4",,,tlca_gp,tc_dcache_atomics_amo,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求,a_reqSource=6",Tilelink总线取回数据正确,"auto_client_out_a_valid，auto_client_out_a_ready，
auto_client_out_a_bits_user_reqSource,","auto_client_out_a_valid=1，auto_client_out_a_ready=1，
auto_client_out_a_bits_user_reqSource=6",,,tlca_gp,tc_dcache_prefetch,,,,
,,,grant通道valid（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效,Tilelink总线取回数据正确,auto_client_out_d_valid，auto_client_out_d_ready，,auto_client_out_d_valid=1，auto_client_out_d_ready=1，,,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求无效,等待valid后，Tilelink总线取回数据正确,auto_client_out_d_valid，auto_client_out_d_ready，,auto_client_out_d_valid=0，auto_client_out_d_ready=1，,,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,grant通道opcode（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，a_opcode=4(Grant),Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_bits_opcode,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_opcode=4",,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，a_opcode=5(GrantData),Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_bits_opcode,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_opcode=5",,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,grant通道param（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效,a_param=0(toT)",Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_bits_param,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_param=0",,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,"当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效,a_param=1(toB)",Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_bits_param,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_param=1",,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,grant通道ready（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道（通道D）可接受请求,Tilelink总线取回数据正确,auto_client_out_d_valid，auto_client_out_d_ready，,auto_client_out_d_valid=1，auto_client_out_d_ready=1，,,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线acquire通道可接受请求，Tilelink总线grant通道（通道D）不可接受请求,等待ready后，Tilelink总线取回数据正确,auto_client_out_d_valid，auto_client_out_d_ready，,auto_client_out_d_valid=1，auto_client_out_d_ready=0，,,,tlcd_gp,tc_dcache_load/tc_dcache_store,,,,
,,,grant通道source（Tilelink D通道）,,,,,,,,,,,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取0,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=0,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取1,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=1,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取2,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=2,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取3,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=3,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取4,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=4,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取5,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=5,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取6,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=6,",,,,tc_dcache_load/tc_dcache_store,,,,
,,,,,,当前存在正在执行的miss重填请求时，Tilelink总线grant通道请求有效，Tilelink总线grant通道来源信号取7,Tilelink总线取回数据正确,"auto_client_out_d_valid，auto_client_out_d_ready，
auto_client_out_d_source,","auto_client_out_d_valid=1，auto_client_out_d_ready=1，
auto_client_out_d_bits_source=7,",,,,tc_dcache_load/tc_dcache_store,,,,
